ciudad,latitud,longitud
MADRID,40.4167047,-3.7035825
BARCELONA,41.3828939,2.1774322
SEVILLA,37.3886303,-5.9953403
VALENCIA,39.4699014,-0.3759513
PONFERRADA,42.5454124,-6.5938719
